,url_topic,topic_words
567,fairborn-oh,fairborn oh
568,fairfax-va,fairfax va
569,fairfield-ca,fairfield ca
570,fairfield-oh,fairfield oh
571,fairhope-al,fairhope al
572,fair-lawn-nj,fair lawn nj
573,fairmont-wv,fairmont wv
574,fall-river-ma,fall river ma
575,fargo-nd,fargo nd
576,faribault-mn,faribault mn
577,farmers-branch-tx,farmers branch tx
578,farmington-hills-mi,farmington hills mi
579,farmington-mn,farmington mn
580,farmington-nm,farmington nm
581,farmington-ut,farmington ut
582,farragut-tn,farragut tn
583,fayetteville-ar,fayetteville ar
584,fayetteville-nc,fayetteville nc
585,federal-way-wa,federal way wa
586,ferguson-mo,ferguson mo
587,ferndale-mi,ferndale mi
588,findlay-oh,findlay oh
589,fishers-in,fishers in
590,fitchburg-ma,fitchburg ma
591,fitchburg-wi,fitchburg wi
592,flagstaff-az,flagstaff az
593,flint-mi,flint mi
594,florence-al,florence al
595,florence-az,florence az
596,florence-ky,florence ky
597,florence-sc,florence sc
598,florissant-mo,florissant mo
599,flower-mound-tx,flower mound tx
600,flushing-ny,flushing ny
601,folsom-ca,folsom ca
602,fond-du-lac-wi,fond du lac wi
603,fontana-ca,fontana ca
604,forest-grove-or,forest grove or
605,forest-lake-mn,forest lake mn
606,forest-park-ga,forest park ga
607,forest-park-oh,forest park oh
608,fort-collins-co,fort collins co
609,fort-dodge-ia,fort dodge ia
610,fort-lauderdale-fl,fort lauderdale fl
611,fort-lee-nj,fort lee nj
612,fort-myers-fl,fort myers fl
613,fort-pierce-fl,fort pierce fl
614,fort-smith-ar,fort smith ar
615,fort-walton-beach-fl,fort walton beach fl
616,fort-wayne-in,fort wayne in
617,fort-worth-tx,fort worth tx
618,foster-city-ca,foster city ca
619,fountain-co,fountain co
620,fountain-hills-az,fountain hills az
621,fountain-valley-ca,fountain valley ca
622,frankfort-il,frankfort il
623,frankfort-ky,frankfort ky
624,franklin-in,franklin in
625,franklin-ma,franklin ma
626,franklin-park-il,franklin park il
627,franklin-tn,franklin tn
628,franklin-wi,franklin wi
629,frederick-md,frederick md
630,fredericksburg-va,fredericksburg va
631,freeport-il,freeport il
632,freeport-ny,freeport ny
633,fremont-ca,fremont ca
634,fremont-ne,fremont ne
635,fresno-ca,fresno ca
636,fridley-mn,fridley mn
637,friendswood-tx,friendswood tx
638,frisco-tx,frisco tx
639,fullerton-ca,fullerton ca
640,fuquay-varina-nc,fuquay varina nc
641,gadsden-al,gadsden al
642,gahanna-oh,gahanna oh
643,gainesville-fl,gainesville fl
644,gainesville-ga,gainesville ga
645,gaithersburg-md,gaithersburg md
646,galesburg-il,galesburg il
647,gallatin-tn,gallatin tn
648,gallup-nm,gallup nm
649,galt-ca,galt ca
650,galveston-tx,galveston tx
651,gardena-ca,gardena ca
652,garden-city-ks,garden city ks
653,garden-city-mi,garden city mi
654,garden-city-ny,garden city ny
655,garden-grove-ca,garden grove ca
656,gardner-ks,gardner ks
657,gardner-ma,gardner ma
658,garfield-heights-oh,garfield heights oh
659,garfield-nj,garfield nj
660,garland-tx,garland tx
661,garner-nc,garner nc
662,gary-in,gary in
663,gastonia-nc,gastonia nc
664,geneva-il,geneva il
665,georgetown-ky,georgetown ky
666,georgetown-tx,georgetown tx
667,germantown-tn,germantown tn
668,germantown-wi,germantown wi
669,gilbert-az,gilbert az
670,gillette-wy,gillette wy
671,gilroy-ca,gilroy ca
672,gladstone-mo,gladstone mo
673,glassboro-nj,glassboro nj
674,glen-cove-ny,glen cove ny
675,glendale-az,glendale az
676,glendale-ca,glendale ca
677,glendale-heights-il,glendale heights il
678,glendora-ca,glendora ca
679,glen-ellyn-il,glen ellyn il
680,glenview-il,glenview il
681,gloucester-ma,gloucester ma
682,godfrey-il,godfrey il
683,golden-co,golden co
684,golden-valley-mn,golden valley mn
685,goldsboro-nc,goldsboro nc
686,goleta-ca,goleta ca
687,goodlettsville-tn,goodlettsville tn
688,goodyear-az,goodyear az
689,goose-creek-sc,goose creek sc
690,goshen-in,goshen in
691,grand-forks-nd,grand forks nd
692,grand-island-ne,grand island ne
693,grand-junction-co,grand junction co
694,grand-prairie-tx,grand prairie tx
695,grand-rapids-mi,grand rapids mi
696,grandview-mo,grandview mo
697,granite-city-il,granite city il
698,grants-pass-or,grants pass or
699,grapevine-tx,grapevine tx
700,grayslake-il,grayslake il
701,great-falls-mt,great falls mt
702,greeley-co,greeley co
703,greenacres-fl,greenacres fl
704,green-bay-wi,green bay wi
705,greenbelt-md,greenbelt md
706,greenfield-in,greenfield in
707,greenfield-wi,greenfield wi
708,green-oh,green oh
709,greensboro-nc,greensboro nc
710,greenville-ms,greenville ms
711,greenville-nc,greenville nc
712,greenville-sc,greenville sc
713,greenville-tx,greenville tx
714,greenwood-in,greenwood in
715,greenwood-sc,greenwood sc
716,greer-sc,greer sc
717,gresham-or,gresham or
718,gretna-la,gretna la
719,griffin-ga,griffin ga
720,grove-city-oh,grove city oh
721,gulfport-ms,gulfport ms
722,gurnee-il,gurnee il
723,hackensack-nj,hackensack nj
724,hadley-ma,hadley ma
725,hagerstown-md,hagerstown md
726,haines-city-fl,haines city fl
727,hallandale-beach-fl,hallandale beach fl
728,haltom-city-tx,haltom city tx
729,hamilton-oh,hamilton oh
730,hammond-in,hammond in
731,hammond-la,hammond la
732,hampton-va,hampton va
733,hamtramck-mi,hamtramck mi
734,hanford-ca,hanford ca
735,hannibal-mo,hannibal mo
736,hanover-park-il,hanover park il
737,harker-heights-tx,harker heights tx
738,harlingen-tx,harlingen tx
739,harrisburg-pa,harrisburg pa
740,harrisonburg-va,harrisonburg va
741,harrison-ny,harrison ny
742,hartford-ct,hartford ct
743,harvey-il,harvey il
744,hastings-mn,hastings mn
745,hastings-ne,hastings ne
746,hattiesburg-ms,hattiesburg ms
747,havelock-nc,havelock nc
748,haverhill-ma,haverhill ma
749,hawthorne-ca,hawthorne ca
750,hawthorne-nj,hawthorne nj
751,hays-ks,hays ks
752,hayward-ca,hayward ca
753,hazel-park-mi,hazel park mi
754,hazelwood-mo,hazelwood mo
755,hazleton-pa,hazleton pa
756,helena-mt,helena mt
757,hemet-ca,hemet ca
758,hempstead-ny,hempstead ny
759,henderson-ky,henderson ky
760,henderson-nv,henderson nv
761,hendersonville-tn,hendersonville tn
762,hercules-ca,hercules ca
763,hermosa-beach-ca,hermosa beach ca
764,herndon-va,herndon va
765,herriman-ut,herriman ut
766,hesperia-ca,hesperia ca
767,hialeah-fl,hialeah fl
768,hialeah-gardens-fl,hialeah gardens fl
769,hickory-nc,hickory nc
770,highland-ca,highland ca
771,highland-in,highland in
772,highland-park-il,highland park il
773,highland-village-tx,highland village tx
774,high-point-nc,high point nc
775,hilliard-oh,hilliard oh
776,hillsboro-or,hillsboro or
777,hilton-head-island-sc,hilton head island sc
778,hinesville-ga,hinesville ga
779,hinsdale-il,hinsdale il
780,hobart-in,hobart in
781,hobbs-nm,hobbs nm
782,hoboken-nj,hoboken nj
783,hoffman-estates-il,hoffman estates il
784,holladay-ut,holladay ut
785,holland-mi,holland mi
786,hollister-ca,hollister ca
787,holly-springs-nc,holly springs nc
788,hollywood-fl,hollywood fl
789,holyoke-ma,holyoke ma
790,homer-glen-il,homer glen il
791,homestead-fl,homestead fl
792,homewood-al,homewood al
793,homewood-il,homewood il
794,honolulu-hi,honolulu hi
795,hoover-al,hoover al
796,hopewell-va,hopewell va
797,hopkins-mn,hopkins mn
798,hopkinsville-ky,hopkinsville ky
799,horn-lake-ms,horn lake ms
800,hot-springs-ar,hot springs ar
801,houma-la,houma la
802,houston-tx,houston tx
803,howard-wi,howard wi
804,huber-heights-oh,huber heights oh
805,hudson-oh,hudson oh
806,huntersville-nc,huntersville nc
807,huntington-beach-ca,huntington beach ca
808,huntington-in,huntington in
809,huntington-park-ca,huntington park ca
810,huntington-wv,huntington wv
811,huntley-il,huntley il
812,huntsville-al,huntsville al
813,huntsville-tx,huntsville tx
814,hurst-tx,hurst tx
815,hutchinson-ks,hutchinson ks
816,idaho-falls-id,idaho falls id
817,imperial-beach-ca,imperial beach ca
818,independence-ky,independence ky
819,independence-mo,independence mo
820,indianapolis-in,indianapolis in
821,indian-trail-nc,indian trail nc
822,indio-ca,indio ca
823,inglewood-ca,inglewood ca
824,inkster-mi,inkster mi
825,inver-grove-heights-mn,inver grove heights mn
826,iowa-city-ia,iowa city ia
827,irvine-ca,irvine ca
828,irving-tx,irving tx
829,issaquah-wa,issaquah wa
830,ithaca-ny,ithaca ny
831,jackson-mi,jackson mi
832,jackson-ms,jackson ms
833,jackson-tn,jackson tn
834,jacksonville-ar,jacksonville ar
835,jacksonville-beach-fl,jacksonville beach fl
836,jacksonville-fl,jacksonville fl
837,jacksonville-il,jacksonville il
838,jacksonville-nc,jacksonville nc
839,jamestown-ny,jamestown ny
840,janesville-wi,janesville wi
841,jefferson-city-mo,jefferson city mo
842,jeffersontown-ky,jeffersontown ky
843,jeffersonville-in,jeffersonville in
844,jersey-city-nj,jersey city nj
845,johns-creek-ga,johns creek ga
846,johnson-city-tn,johnson city tn
847,johnstown-pa,johnstown pa
848,joliet-il,joliet il
849,jonesboro-ar,jonesboro ar
850,joplin-mo,joplin mo
851,junction-city-ks,junction city ks
852,juneau-ak,juneau ak
853,jupiter-fl,jupiter fl
854,kalamazoo-mi,kalamazoo mi
855,kalispell-mt,kalispell mt
856,kankakee-il,kankakee il
857,kannapolis-nc,kannapolis nc
858,kansas-city-ks,kansas city ks
859,kansas-city-mo,kansas city mo
860,kaysville-ut,kaysville ut
861,kearney-ne,kearney ne
862,kearny-nj,kearny nj
863,keene-nh,keene nh
864,keizer-or,keizer or
865,keller-tx,keller tx
866,kenmore-wa,kenmore wa
867,kenner-la,kenner la
868,kennesaw-ga,kennesaw ga
